RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B2-068890,2012/07/27 00:00:00+00,1507,"SUPERIOR,LEWIS to N 14",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4591
B2-073164,2012/08/08 00:00:00+00,950,"CORNHUSKER,N 70 to RUSSELL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4592
B2-072938,2012/08/07 00:00:00+00,1609,"S 10,L to M",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4593
B2-074064,2012/08/10 00:00:00+00,1700,"O,13 to 14",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4594
B2-069916,2012/07/30 00:00:00+00,1526,"O,17 to 18",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4595
B2-070725,2012/08/01 00:00:00+00,1708,"S 27,LAKE to SHERIDAN",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4596
B2-067794,2012/07/24 00:00:00+00,1703,"O,COTNER to LYNCREST",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4597
B2-068934,2012/07/27 00:00:00+00,1704,"PIONEERS,S 48 to S 49",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,YES,NO,4598
B2-073166,2012/08/08 00:00:00+00,955,"S 70,MONTEREY to SOUTH",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4599
B2-072949,2012/08/07 00:00:00+00,1626,"N 9,P to Q",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4600
B2-074080,2012/08/10 00:00:00+00,1810,"NEBR HWY,S 27 to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4601
B2-069921,2012/07/30 00:00:00+00,1547,"BROWNING,S 32 to FAULKER DR",NON-INJ,HEAD ON,2,0,NO,NO,NO,NO,NO,NO,NO,4602
B2-070730,2012/08/01 00:00:00+00,1700,"S 10,C to D",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4603
B2-067827,2012/07/24 00:00:00+00,1830,"A,S 48 to S 49",NON-INJ,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4604
B2-068936,2012/07/27 00:00:00+00,1711,"S 13,SARATOGA to HUDSON",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4605
B2-068943,2012/07/27 00:00:00+00,1735,"OLD CHENEY,S 56 to S 58",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,4606
B2-067841,2012/07/24 00:00:00+00,1855,269 IRVING at -,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,4607
B2-070742,2012/08/01 00:00:00+00,1735,"S 27,E to F",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4608
B2-069923,2012/07/30 00:00:00+00,1556,"N 35,HOLDREGE to STARR",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,4609
B2-074082,2012/08/10 00:00:00+00,1750,"N 1,IRVING to SUPERIOR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4610
B2-073173,2012/08/06 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,YES,NO,4611
B2-073186,2012/08/08 00:00:00+00,1117,"S 48,ANTELOPE CREEK to NORMAL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4612
B2-068946,2012/08/27 00:00:00+00,1755,N 28 at FAIR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4613
B2-070749,2012/08/01 00:00:00+00,1802,"O,53 to PIAZZA",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,4614
B2-067920,2012/07/24 00:00:00+00,2330,S 27 at SOUTH,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4615
B2-069941,2012/07/30 00:00:00+00,1627,S 84 at PIONEERS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4616
B2-074084,2012/08/10 00:00:00+00,1818,S 24 at A,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,4617
B2-073197,2012/08/08 00:00:00+00,1205,"VAN DORN,S 70 to S 72",INJURY,DRIVEWAY,4,1,NO,NO,NO,NO,NO,NO,NO,4618
B2-068948,2012/07/27 00:00:00+00,1750,"S 9,B to C",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4619
B2-070762,2012/08/01 00:00:00+00,1829,HOLDREGE at NORTHWOODS DR,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,4620
B2-069943,2012/07/30 00:00:00+00,720,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,NO,NO,4621
B2-067943,2012/07/25 00:00:00+00,50,"S 27,J to K",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4622
B2-074089,2012/08/10 00:00:00+00,1833,7001 S 14 at -,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,4623
B2-073203,2012/08/08 00:00:00+00,1251,"O,18 to 19",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4624
B2-068957,2012/07/27 00:00:00+00,1839,"S 27,JAMESON NORTH to OLD CHENEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4625
B2-067978,2012/07/25 00:00:00+00,617,O at COTNER,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4626
B2-069947,2012/07/30 00:00:00+00,1640,"S 48,J to RANDOLPH",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4627
B2-070777,2012/08/01 00:00:00+00,9999,1000 S 70 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4628
B2-070819,2012/08/01 00:00:00+00,2115,"PIONEERS,S 48 to S 49",NON-INJ H&R,RAN OFF ROAD,2,0,NO,NO,NO,NO,NO,NO,NO,4629
B2-068013,,999,3730 N 48 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4630
B2-069960,2012/07/30 00:00:00+00,1718,"S 40,C to D",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4631
B2-074116,2012/08/10 00:00:00+00,2010,"N 13,P to Q",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4632
B2-069018,2012/07/27 00:00:00+00,2127,S 70 at PIONEERS,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4633
B2-073205,2012/08/08 00:00:00+00,1300,"NEBR HWY,S 33 to S 40",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4634
B2-070822,2012/08/01 00:00:00+00,9999,"S 82,OLD CHENEY to BARRINGTON RD",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4635
B2-069985,2012/07/30 00:00:00+00,1836,"N 48,FREMONT to HARTLEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4636
B2-069050,2012/07/27 00:00:00+00,2200,6150 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4637
B2-068031,2012/07/25 00:00:00+00,9999,"S 28,A to WASHINGTON",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4638
B2-074159,2012/08/10 00:00:00+00,2220,"LINE DR,SUN VALLEY to N 4",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,4639
B2-070920,2012/08/01 00:00:00+00,9999,"N 47,HOLDREGE to STARR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4640
B2-070035,2012/07/30 00:00:00+00,2140,"N 27,FAIRFIELD to KNOX",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4641
B2-069168,2012/07/28 00:00:00+00,810,3202 S 10 at SUPER C,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4642
B2-068053,2012/07/25 00:00:00+00,1144,"N 12,P to Q",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4643
B2-073220,2012/08/08 00:00:00+00,1340,"SW 14,W JEAN CR to W SEWELL",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4644
B2-074228,2012/08/11 00:00:00+00,115,"N 27,TICONDEROGA to SUPERIOR",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,4645
B2-070041,2012/07/30 00:00:00+00,2140,"OLD CHENEY,ROLLING HILLS to TIPPERARY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4646
B2-070940,2012/08/02 00:00:00+00,9999,"N 24,S to T",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4647
B2-069173,2012/07/28 00:00:00+00,848,N 27 at VINE,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,4648
B2-068055,2012/07/25 00:00:00+00,1153,"S 40,LAKE to NORMAL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4649
B2-074260,2012/08/11 00:00:00+00,310,"O,40 to 42",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,4650
B2-073223,2012/08/08 00:00:00+00,1410,"HOMESTEAD EXP,ROSA PARKS WAY to W VAN DORN",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4651
B2-070046,2012/07/30 00:00:00+00,2145,"FAIRFIELD,MANATT to N 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4652
B2-070942,2012/08/02 00:00:00+00,230,"T,N 24 to N 25",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4653
B2-069185,2012/07/28 00:00:00+00,937,NW 12 at W CORNHUSKER,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,4654
B2-068058,2012/07/25 00:00:00+00,9999,"EVERETT,S 35 to S 37",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4655
B2-073252,,9999,"SANDALWOOD,COTTONWOOD to DRIFTWOOD",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4656
B2-074347,2012/08/11 00:00:00+00,200,"STACY,S 70 to PIONEERS",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4657
B2-070059,2012/07/30 00:00:00+00,2250,3939 A at -,INJURY,,2,1,NO,NO,NO,NO,NO,YES,NO,4658
B2-070947,2012/08/02 00:00:00+00,910,"JUDSON,N 65 to N 66",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,YES,4659
B2-069206,2012/07/28 00:00:00+00,1110,S 56 at NORMAL,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,4660
B2-068075,2012/07/25 00:00:00+00,1233,N 23 at ORCHARD,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4661
B2-074360,2012/08/11 00:00:00+00,945,"S 46,L to WITHERBEE",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4662
B2-073252,2012/08/09 00:00:00+00,1519,N 16 at R,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,4663
B2-070963,2012/08/02 00:00:00+00,1000,"VINE,N 35 to N 36",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4664
B2-070095,2012/07/31 00:00:00+00,135,"HILLSIDE,S 44 to S 46",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4665
B2-069226,2012/07/28 00:00:00+00,1250,"S COTNER,FRANKLIN to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4666
B2-068077,2012/07/25 00:00:00+00,1255,S 13 at L,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,4667
B2-074365,2012/08/11 00:00:00+00,1028,"S 9,N to O",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,4668
B2-073262,2012/08/08 00:00:00+00,1622,"CORNHUSKER,N 44 to N 48",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4669
B2-070965,2012/08/02 00:00:00+00,1016,"A,CAPITOL PKWY to MEMORIAL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4670
B2-070135,2012/07/31 00:00:00+00,700,S 16 at N,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,4671
B2-074375,2012/08/10 00:00:00+00,2230,1924 NORTHVILLE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4672
B2-069230,2012/07/22 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4673
B2-068096,2012/07/25 00:00:00+00,1330,"S 33,NEBR HWY to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4674
B2-073266,2012/08/08 00:00:00+00,1620,"S 70,MONTEREY to SOUTH",INJURY,REAR END,4,2,NO,NO,NO,NO,NO,NO,NO,4675
B2-070977,2012/08/02 00:00:00+00,1042,5435 NW 1 at -,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,4676
B2-070148,2012/07/31 00:00:00+00,817,"S 14,WARLICK to OLD CHENEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4677
B2-074377,2012/08/11 00:00:00+00,1100,"S 40,HIGH to PAWNEE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4678
B2-069243,2012/07/28 00:00:00+00,1435,N 70 at CORNHUSKER,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4679
B2-068104,2012/07/25 00:00:00+00,9999,"LEWIS,FAIRFIELD to MANATT",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4680
B2-073283,2012/08/08 00:00:00+00,1702,S 56 at N,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,4681
B2-070997,2012/08/02 00:00:00+00,1159,70 at O,INJURY,TURNING,3,1,NO,NO,NO,NO,NO,YES,NO,4682
B2-070161,2012/07/31 00:00:00+00,858,N 48 at CORNHUSKER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4683
B2-074402,2012/08/11 00:00:00+00,9999,"N 29,Q to R",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4684
B2-069268,2012/07/28 00:00:00+00,1600,"O,32 to 33",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4685
B2-068149,2012/07/25 00:00:00+00,0,S 70 at PIONEERS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4686
B2-073287,2012/08/08 00:00:00+00,1707,"P,CENTENNIAL MALL to N 14",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,NO,NO,4687
B2-071014,2012/08/02 00:00:00+00,1300,"N 27,CORNHUSKER to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4688
B2-070207,2012/07/31 00:00:00+00,1110,"S 9,M to N",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,4689
B2-069274,2012/07/28 00:00:00+00,1630,"S 38,LAKE to SEWELL",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4690
B2-074413,2012/08/11 00:00:00+00,1307,"S 11,F to G",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,4691
B2-071028,2012/08/02 00:00:00+00,1355,"N 27,Q to R",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4692
B2-068156,2012/07/25 00:00:00+00,1529,N 84 at COLLEGE PARK RD,NON-INJ H&R,SIDE SWIPE,3,0,NO,NO,NO,NO,NO,YES,NO,4693
B2-073288,2012/08/08 00:00:00+00,1708,"O,56 to COTNER",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,4694
B2-074416,2012/08/10 00:00:00+00,9999,"W S,NW 13 to NW 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4695
B2-070243,2012/07/31 00:00:00+00,1314,N 26 at Y,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4696
B2-069295,2012/07/28 00:00:00+00,800,"BINGHAM CT,S 46 to E DEAD END",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4697
B2-071060,2012/07/27 00:00:00+00,645,801 W O at -,INJURY,,1,1,YES,NO,NO,NO,NO,YES,NO,4698
B2-068166,2012/07/25 00:00:00+00,1609,N 21 at SUPERIOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4699
B2-074434,2012/08/11 00:00:00+00,9999,"N 25,LIBERTY BELL to PHILADELPHIA",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4700
B2-073296,2012/08/08 00:00:00+00,1724,"S 84,AUGUSTA DR to WENDELL WAY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4701
B2-070246,2012/07/31 00:00:00+00,1320,"N 42,COLFAX to TURNER",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4702
B2-069307,2012/07/28 00:00:00+00,1843,"S 40,A to WASHINGTON",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,NO,NO,4703
B2-071061,2012/08/02 00:00:00+00,1537,S 24 at GARFIELD,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4704
B2-068170,2012/07/25 00:00:00+00,1610,"W VAN DORN,PARK BLVD to HOMESTEAD EXP",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4705
B2-074442,2012/08/11 00:00:00+00,1448,N 14 at SUPERIOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4706
B2-070247,2012/07/31 00:00:00+00,9999,"S 48,MEREDETH to PIONEERS",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4707
B2-073299,2012/08/08 00:00:00+00,1728,"NORMAL,S 46 to S COTNER",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,4708
B2-068172,2012/07/25 00:00:00+00,1545,"N 48,R to VINE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4709
B2-069313,2012/07/28 00:00:00+00,1700,"N 73,EAGLE to WILLOW",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4710
B2-071080,2012/08/02 00:00:00+00,1612,N 28 at FAIR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4711
B2-073301,2012/08/08 00:00:00+00,1719,"N 48,PIERCE to SUPERIOR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4712
B2-070267,2012/07/31 00:00:00+00,1400,STATE FAIR PARK at CORNHUSKER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4713
B2-074446,2012/08/11 00:00:00+00,1510,"ADAMS,N 1 to N 3",INJURY,HEAD ON,2,1,NO,NO,NO,NO,NO,YES,NO,4714
B2-071081,2012/08/02 00:00:00+00,1546,N 48 at HOLDREGE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4715
B2-068175,2012/07/25 00:00:00+00,1610,"S 56,NEBR HWY to SHADY CREEK",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4716
B2-069349,2012/07/28 00:00:00+00,2049,"CAPITOL PKWY W,S 9 to S FOLSOM",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,4717
B2-070268,2012/07/31 00:00:00+00,1300,"N 56,T to VINE",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4718
B2-074461,2012/08/11 00:00:00+00,1559,W THATCHER at NW 48,NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,4719
B2-071083,2012/08/02 00:00:00+00,1622,N 41 at ORCHARD,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,4720
B2-068193,2012/07/25 00:00:00+00,1724,"NEBR HWY,S 27 to SOUTHWOOD DR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4721
B2-073315,2012/08/08 00:00:00+00,1815,"W O,CAPITOL BEACH to NW ROUNDHOUSE",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,4722
B2-069378,2012/07/28 00:00:00+00,2215,3223 CORNHUSKER at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4723
B2-070278,2012/07/31 00:00:00+00,1446,"N 27,TICONDEROGA to SUPERIOR",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4724
B2-074479,2012/08/11 00:00:00+00,1632,"N 48,O to R",NON-INJ H&R,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4725
B2-071109,2012/08/02 00:00:00+00,1743,N ANTELOPE VALL at SALT CREEK RDWY,NON-INJ,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,4726
B2-068195,2012/07/25 00:00:00+00,1726,"OLD CHENEY,HICKORY CREST to S 70",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4727
B2-073440,2012/08/09 00:00:00+00,525,"S 56,CUMBERLAND to SHADOW PINES DR",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,4728
B2-069392,2012/07/28 00:00:00+00,2235,"BALDWIN,N 39 to N 40",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,4729
B2-070308,2012/07/31 00:00:00+00,1615,"BALDWIN,N 33 to N 35",INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,4730
B2-074514,2012/08/11 00:00:00+00,1802,"O,17 to 18",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4731
B2-071120,2012/08/02 00:00:00+00,1817,"S 70,MONTEREY to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4732
B2-068250,2012/07/25 00:00:00+00,2010,"N 27,KENSINGTON to TICONDEROGA",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,4733
B2-073450,2012/08/09 00:00:00+00,750,"S 17,RYONS to SOUTH",INJURY H&R,TURNING,2,1,NO,YES,NO,NO,NO,YES,NO,4734
B2-069479,2012/07/29 00:00:00+00,323,"SHERIDAN,LAKE to WOODSCREST",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,4735
B2-070320,2012/07/31 00:00:00+00,1638,"SOUTH,JEFFERSON to S 30",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4736
B2-074518,2012/08/11 00:00:00+00,1810,"W CHADDERTON,BEDFORD to NW 3",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4737
B2-068254,2012/07/25 00:00:00+00,2020,"N 10,CHARLESTON to NEW HAMPSHIRE",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4738
B2-071167,2012/08/02 00:00:00+00,2030,HOMESTEAD at ROSA PARKS WAY,INJURY,SIDE SWIPE,2,1,NO,NO,NO,NO,NO,YES,NO,4739
B2-073482,2012/08/09 00:00:00+00,1024,"A,CAPITOL PKWY to MEMORIAL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4740
B2-069503,2012/07/29 00:00:00+00,440,2627 R at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4741
B2-070322,2012/07/31 00:00:00+00,1643,"S 48,F to RANDOLPH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4742
B2-074531,2012/08/11 00:00:00+00,1825,"E,S 11 to S 12",NON-INJ H&R,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4743
B2-068294,2012/07/25 00:00:00+00,2239,"S 40,E to F",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4744
B2-073490,2012/08/09 00:00:00+00,1045,N 26 & N 27 at P & Q,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,4745
B2-071175,2012/08/02 00:00:00+00,2045,NW 2 at W IRVING,NON-INJ,DRIVEWAY,2,0,NO,NO,YES,NO,NO,YES,NO,4746
B2-069517,2012/07/29 00:00:00+00,725,"OLD CHENEY,CLEARVIEW to LIMESTONE",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4747
B2-070328,2012/07/31 00:00:00+00,1710,"S 26,CAPITOL PKWY to D",NON-INJ H&R,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4748
B2-068332,2012/07/26 00:00:00+00,116,"ALLEY,RANDOLPH - F to S 27 - VICTORIA",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,4749
B2-074571,2012/08/11 00:00:00+00,2040,"S 14,YANKEE HILL to CITY LIMITS",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4750
B2-073496,2012/08/09 00:00:00+00,1049,"N 27,O to P",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4751
B2-071306,2012/08/03 00:00:00+00,638,S 22 at GARFIELD,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4752
B2-069534,2012/07/29 00:00:00+00,930,1420 W Q at -,INJURY,,1,1,NO,NO,NO,NO,NO,YES,NO,4753
B2-070331,2012/07/31 00:00:00+00,1020,7111 STEPHANIE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4754
B2-074632,2012/08/11 00:00:00+00,2235,"CLEVELAND,N 47 to N 48",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,4755
B2-068341,2012/07/26 00:00:00+00,215,"N 34,ORCHARD to Y",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4756
B2-071330,2012/08/03 00:00:00+00,912,"S 16,A to WASHINGTON",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4757
B2-073507,2012/08/08 00:00:00+00,1230,1234 MILITARY RD at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4758
B2-069551,2012/07/29 00:00:00+00,9999,"W LEON,NW 7 to W JOEL",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4759
B2-070334,2012/07/31 00:00:00+00,1724,"N 16,Q to R",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,4760
B2-074646,2012/08/11 00:00:00+00,2030,900 W C at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4761
B2-068372,2012/07/26 00:00:00+00,726,NW 48 at W ADAMS,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,4762
